id_application,id_posting,id_resume_outcome,callback,heightrequired,jobgenderoptions,,photo_gender,photo_num,photo,avg_rating,share_num6p,share_num5p,share_num4p,attract_top25,attract_top50,attract_top75,attract_top90,attract_top10,attract_above4_p50,attract_above4_p75,_weight,_height_ft,_height_in,,MenAttBins,MCBs,Photos,Rating,,WomenAttBins,WCBs,Photos,Rating,,,solonum,solorat,sologen,,,,,,,,
5872,"1,468",4,0,0,Both Male & Female,,Female,30,30,2.6938775,0,0.06122449,0.22448979,0,0,0,1,0,0,0,52,5,,,,,,,,,,,,,,,,,,,,,,,,
143,36,3,1,0,Both Male & Female,,Male,26,58,2.5714285,0.020408163,0.12244898,0.20408164,0,0,0,0,0,0,0,67,5,,,,,,,,,,,,,,,,,,,,,,,,
56,14,4,1,0,Both Male & Female,,Female,3,3,4.6734695,0.30612245,0.55102038,0.79591835,1,1,1,1,1,1,1,48,5,,,,,,,,,,,,,,,,,,,,,,,,
850,213,2,0,0,Male Only,,Male,27,59,4.0408163,0.081632651,0.36734694,0.71428573,1,1,1,1,0,1,0,67,5,,,,,,,,,,,,,,,,,,,,,,,,
6153,"1,539",1,0,0,Both Male & Female,,Male,4,36,3.1428571,0.020408163,0.14285715,0.32653061,0,0,1,1,0,0,0,62,5,,,,,,,,,,,,,,,,,,,,,,,,
504,126,4,1,0,Both Male & Female,,Female,31,31,2.9387755,0,0.081632651,0.22448979,0,0,1,1,0,0,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,
395,99,3,1,0,Both Male & Female,,Male,5,37,2.632653,0.020408163,0.06122449,0.24489796,0,0,0,1,0,0,0,60,5,,,,,,,,,,,,,,,,,,,,,,,,
6897,"1,725",1,0,0,Both Male & Female,,Female,20,20,3.7346938,0.081632651,0.30612245,0.5714286,0,1,1,1,0,1,0,45,5,,,,,,,,,,,,,,,,,,,,,,,,
6597,"1,650",1,0,0,Both Male & Female,,Male,28,60,2.6122448,0.020408163,0.10204082,0.26530612,0,0,0,0,0,0,0,63,5,4,,,,,,,,,,,,,,,,,,,,,,,
175,44,3,1,0,Both Male & Female,,Female,19,19,2.367347,0.020408163,0.040816326,0.14285715,0,0,0,0,0,0,0,52,5,,,,,,,,,,,,,,,,,,,,,,,,
6105,"1,527",1,0,0,Both Male & Female,,Male,20,52,4.1836734,0.1632653,0.40816328,0.71428573,1,1,1,1,1,1,0,62,5,,,,,,,,,,,,,,,,,,,,,,,,
6156,"1,539",4,0,0,Both Male & Female,,Female,5,5,4.3265305,0.20408164,0.44897959,0.75510204,1,1,1,1,1,1,1,48,5,,,,,,,,,,,,,,,,,,,,,,,,
136,34,4,1,0,Both Male & Female,,Male,5,37,2.632653,0.020408163,0.06122449,0.24489796,0,0,0,1,0,0,0,65,5,,,,,,,,,,,,,,,,,,,,,,,,
208,52,4,1,0,Both Male & Female,,Male,32,64,3.2448978,0.020408163,0.20408164,0.40816328,0,1,1,1,0,0,0,64,5,,,,,,,,,,,,,,,,,,,,,,,,
183,46,3,1,0,Both Male & Female,,Female,20,20,3.7346938,0.081632651,0.30612245,0.5714286,0,1,1,1,0,1,0,52,5,,,,,,,,,,,,,,,,,,,,,,,,
47,12,3,1,0,Both Male & Female,,Male,22,54,2.6938775,0,0.06122449,0.20408164,0,0,0,1,0,0,0,58,5,,,,,,,,,,,,,,,,,,,,,,,,
54,14,2,1,0,Both Male & Female,,Male,26,58,2.5714285,0.020408163,0.12244898,0.20408164,0,0,0,0,0,0,0,67,5,,,,,,,,,,,,,,,,,,,,,,,,
396,99,4,1,0,Both Male & Female,,Male,22,54,2.6938775,0,0.06122449,0.20408164,0,0,0,1,0,0,0,64,5,,,,,,,,,,,,,,,,,,,,,,,,
62,16,2,0,0,Both Male & Female,,Male,13,45,3.3265307,0.020408163,0.20408164,0.42857143,0,1,1,1,0,0,0,65,5,,,,,,,,,,,,,,,,,,,,,,,,
103,26,3,1,0,Both Male & Female,,Female,15,15,2.4693878,0,0.06122449,0.20408164,0,0,0,0,0,0,0,50,5,,,,,,,,,,,,,,,,,,,,,,,,
4133,"1,034",1,1,0,Both Male & Female,,Female,14,14,3.8163266,0,0.30612245,0.63265306,0,1,1,1,0,1,0,51,5,,,,,,,,,,,,,,,,,,,,,,,,
4129,"1,033",1,1,0,Both Male & Female,,Female,12,12,3.6122448,0.06122449,0.32653061,0.51020408,0,1,1,1,0,1,0,48,5,,,,,,,,,,,,,,,,,,,,,,,,
4130,"1,033",2,1,0,Both Male & Female,,Male,30,62,3.1836734,0.020408163,0.12244898,0.3877551,0,0,1,1,0,0,0,63,5,,,,,,,,,,,,,,,,,,,,,,,,
11,3,3,1,0,Both Male & Female,,Female,23,23,3.2448978,0.020408163,0.1632653,0.40816328,0,0,1,1,0,0,0,57,5,,,,,,,,,,,,,,,,,,,,,,,,
285,72,1,1,0,Both Male & Female,,Female,20,20,3.7346938,0.081632651,0.30612245,0.5714286,0,1,1,1,0,1,0,51,5,,,,,,,,,,,,,,,,,,,,,,,,
6944,"1,736",4,0,0,Both Male & Female,,Female,17,17,3.4693878,0.06122449,0.22448979,0.44897959,0,1,1,1,0,0,0,51,5,4,,,,,,,,,,,,,,,,,,,,,,,
